contrast,method,odds.ratio,SE,df,asymp.LCL,asymp.UCL,null,z.ratio,p.value
meso_inception4 / meso4,Face2Face,1.0610563189023146,0.047565809986385384,Inf,0.9718072835145045,1.1585018253937864,1,1.3220302194232603,0.18615808825668764
meso_inception4 / meso4,Deepfakes,0.8097897999830221,0.035859235321406675,Inf,0.7424706074487201,0.8832127677213594,1,-4.764460619712164,1.8935949326848568e-6
