method,seed,auc_meso4,auc_inception,delta,p.value
Deepfakes,42,0.9849096938775384,0.9815372448979539,0.0033724489795844415,0.005195612145209829
Deepfakes,1,0.9835691326530479,0.9795966836734636,0.003972448979584264,9.727082834620925e-4
Deepfakes,2,0.98028826530611,0.9868697066326474,-0.006581441326537374,2.3486073369481588e-8
Face2Face,42,0.9675996811224545,0.9703102040816368,-0.002710522959182282,0.06427146353842908
Face2Face,1,0.9754492346938728,0.9737979591836848,0.001651275510187955,0.19843228565656343
Face2Face,2,0.9715245535714399,0.9726790816326591,-0.0011545280612192954,0.3552922501305617
