model,method,prob,SE,df,asymp.LCL,asymp.UCL
meso_inception4,Face2Face,0.9769989026657823,0.0030235690183525324,Inf,0.9702647096942035,0.982235915815204
meso4,Face2Face,0.9756287663743767,0.003195274173246193,Inf,0.9685161914515849,0.9811657711280529
meso_inception4,Deepfakes,0.9725309138794362,0.0035813741806810396,Inf,0.9645687233498794,0.9787432556879685
meso4,Deepfakes,0.9776389801438982,0.0029431558621031443,Inf,0.9710821063457796,0.9827355730259824
